,buying,maint,doors,persons,lug_boot,safety,predict
323,med,high,3,more,small,low,acc
324,med,low,5more,2,med,med,acc
325,high,low,3,2,big,high,acc
326,med,vhigh,2,4,small,low,acc
327,vhigh,low,4,4,big,low,acc
328,low,high,5more,more,big,med,unacc
329,low,high,5more,2,small,med,acc
330,vhigh,vhigh,4,more,small,high,acc
331,vhigh,med,4,4,med,high,unacc
332,med,high,4,2,big,med,acc
333,low,vhigh,5more,4,small,high,unacc
334,high,low,4,4,med,med,unacc
335,med,high,2,more,med,high,unacc
336,high,low,5more,4,small,low,acc
337,vhigh,med,3,4,med,med,acc
338,vhigh,med,5more,more,med,low,acc
339,vhigh,low,4,2,med,high,acc
340,vhigh,vhigh,4,4,small,low,acc
341,high,med,4,2,big,low,acc
342,low,med,2,4,med,low,acc
343,low,high,4,more,med,med,unacc
344,med,med,3,4,small,high,unacc
345,high,high,5more,more,med,high,unacc
346,low,high,4,4,big,med,unacc
347,high,vhigh,5more,4,small,med,acc
348,vhigh,med,4,more,small,high,unacc
349,low,high,4,more,big,low,acc
350,low,low,2,2,small,med,acc
351,low,low,4,more,med,low,acc
352,med,med,4,more,big,low,acc
353,high,low,3,more,big,high,unacc
354,vhigh,low,4,2,big,low,acc
355,low,low,5more,4,small,med,unacc
356,med,high,5more,4,big,high,unacc
357,low,vhigh,2,more,big,high,unacc
358,med,med,5more,more,big,low,acc
359,high,med,3,more,small,high,unacc
360,high,vhigh,3,2,big,low,acc
361,high,med,2,2,small,low,acc
362,vhigh,vhigh,5more,more,small,low,acc
363,med,vhigh,2,more,med,high,unacc
364,high,med,5more,more,big,med,unacc
365,low,high,4,2,big,med,acc
366,vhigh,med,3,4,small,low,acc
367,vhigh,vhigh,5more,2,big,med,acc
368,high,high,5more,4,small,med,acc
369,vhigh,med,5more,more,small,low,acc
370,vhigh,med,5more,2,big,med,acc
371,high,med,4,4,big,high,unacc
372,high,high,5more,2,small,low,acc
373,high,low,4,4,small,high,unacc
374,low,high,4,4,med,low,acc
375,low,high,2,more,small,low,acc
376,low,low,5more,2,med,high,acc
377,vhigh,vhigh,3,4,big,high,acc
378,vhigh,high,3,2,big,low,acc
379,low,vhigh,4,2,small,med,acc
380,high,low,4,4,big,med,unacc
381,low,vhigh,3,4,small,med,acc
382,vhigh,low,4,4,big,high,unacc
383,med,vhigh,2,more,big,low,acc
384,vhigh,med,5more,2,small,low,acc
385,vhigh,high,4,more,big,med,acc
386,high,low,4,2,big,low,acc
387,low,low,3,2,small,high,acc
388,high,high,3,2,small,high,acc
389,vhigh,high,5more,4,small,med,acc
390,med,low,4,4,small,med,unacc
391,med,med,3,more,small,med,unacc
392,high,high,3,more,big,med,unacc
393,vhigh,low,2,4,med,low,acc
394,high,low,5more,2,small,high,acc
395,high,high,2,2,med,low,acc
396,med,low,5more,2,big,med,acc
397,high,low,5more,more,med,high,unacc
398,vhigh,vhigh,5more,more,med,low,acc
399,vhigh,med,5more,more,big,high,unacc
400,vhigh,vhigh,2,more,med,med,acc
401,high,low,2,4,med,high,unacc
402,med,low,3,more,small,low,acc
403,vhigh,med,4,more,med,high,unacc
404,med,med,4,more,small,low,acc
405,low,low,5more,2,med,low,acc
406,high,vhigh,2,more,med,high,acc
407,high,low,2,more,small,high,acc
408,high,med,4,2,small,med,acc
409,vhigh,med,5more,more,med,med,unacc
410,high,low,5more,2,big,low,acc
411,low,vhigh,5more,more,small,high,unacc
412,high,high,4,4,med,med,unacc
413,vhigh,vhigh,5more,4,med,low,acc
414,med,med,2,more,small,med,acc
415,low,high,5more,2,med,high,acc
416,high,high,4,more,med,low,acc
417,low,med,4,4,small,low,acc
418,vhigh,med,2,4,small,low,acc
419,med,high,2,2,small,low,acc
420,high,high,4,more,small,med,acc
421,med,low,3,4,med,med,unacc
422,vhigh,med,3,2,big,med,acc
423,vhigh,med,2,4,big,med,unacc
424,med,vhigh,5more,more,med,high,unacc
425,high,med,3,4,med,high,unacc
426,vhigh,med,3,2,med,med,acc
427,med,low,2,4,small,low,acc
428,high,low,5more,4,small,med,acc
429,high,vhigh,5more,4,med,low,acc
430,high,low,5more,4,small,high,unacc
431,vhigh,vhigh,3,more,small,med,acc
432,high,vhigh,2,2,big,low,acc
433,med,high,5more,more,small,med,unacc
434,med,vhigh,4,2,small,med,acc
435,low,high,2,2,med,high,acc
436,vhigh,med,3,4,big,med,unacc
437,high,high,3,4,small,high,unacc
438,med,low,3,2,small,low,acc
439,med,low,2,2,small,med,acc
440,vhigh,med,2,2,med,high,acc
441,vhigh,low,3,more,small,high,unacc
442,med,high,5more,2,big,high,acc
443,low,high,3,2,big,low,acc
444,high,low,5more,more,med,med,unacc
445,med,med,3,2,big,high,acc
446,med,low,3,4,med,low,acc
447,high,low,5more,more,big,high,unacc
448,low,low,2,4,med,med,unacc
449,vhigh,med,4,2,med,high,acc
450,low,high,3,2,med,low,acc
451,low,vhigh,4,more,big,low,acc
452,med,low,2,2,big,low,acc
453,low,high,3,more,med,med,unacc
454,vhigh,vhigh,3,4,big,low,acc
455,high,high,5more,2,med,high,acc
456,high,vhigh,2,4,big,high,acc
457,vhigh,med,3,2,small,med,acc
458,high,med,2,more,small,low,acc
459,med,high,4,more,big,high,unacc
460,vhigh,low,3,2,med,med,acc
461,vhigh,low,3,2,big,med,acc
462,vhigh,high,2,2,small,low,acc
463,high,high,3,2,small,med,acc
464,vhigh,vhigh,2,2,med,high,acc
465,med,vhigh,5more,4,small,low,acc
466,med,high,5more,more,big,low,acc
467,med,high,3,more,small,high,unacc
468,vhigh,high,2,2,big,med,acc
469,high,med,5more,more,med,high,unacc
470,vhigh,vhigh,3,2,big,low,acc
471,low,vhigh,3,2,med,high,acc
472,high,vhigh,5more,more,small,med,acc
473,vhigh,low,3,2,med,low,acc
474,low,vhigh,4,4,big,high,unacc
475,med,vhigh,3,more,big,high,unacc
476,vhigh,low,3,4,big,high,unacc
477,med,vhigh,2,2,med,med,acc
478,med,vhigh,2,4,med,low,acc
